category,amc,metric,coverage_pct
Contra,INVESCO,aum,100.0
Contra,INVESCO,cagr_1y,100.0
Contra,INVESCO,cagr_3y,100.0
Contra,INVESCO,cagr_5y,100.0
Contra,INVESCO,down_beta,100.0
Contra,INVESCO,iqr_3y,100.0
Contra,INVESCO,iqr_5y,100.0
Contra,INVESCO,ir,100.0
Contra,INVESCO,manager_experience,100.0
Contra,INVESCO,max_dd,100.0
Contra,INVESCO,pb,100.0
Contra,INVESCO,pe,100.0
Contra,INVESCO,return_3m,100.0
Contra,INVESCO,return_6m,100.0
Contra,INVESCO,roe,100.0
Contra,INVESCO,rolling_3y,100.0
Contra,INVESCO,rolling_5y,100.0
Contra,INVESCO,sector_hhi,100.0
Contra,INVESCO,sharpe,100.0
Contra,INVESCO,sortino,100.0
Contra,INVESCO,stock_count,100.0
Contra,INVESCO,ter,100.0
Contra,INVESCO,top10,100.0
Contra,INVESCO,top3_sector,100.0
Contra,INVESCO,turnover,100.0
Contra,INVESCO,up_beta,100.0
Contra,INVESCO,volatility,100.0
Contra,KOTAK,aum,100.0
Contra,KOTAK,cagr_1y,100.0
Contra,KOTAK,cagr_3y,100.0
Contra,KOTAK,cagr_5y,100.0
Contra,KOTAK,down_beta,100.0
Contra,KOTAK,iqr_3y,100.0
Contra,KOTAK,iqr_5y,100.0
Contra,KOTAK,ir,100.0
Contra,KOTAK,manager_experience,100.0
Contra,KOTAK,max_dd,100.0
Contra,KOTAK,pb,100.0
Contra,KOTAK,pe,100.0
Contra,KOTAK,return_3m,100.0
Contra,KOTAK,return_6m,100.0
Contra,KOTAK,roe,100.0
Contra,KOTAK,rolling_3y,100.0
Contra,KOTAK,rolling_5y,100.0
Contra,KOTAK,sector_hhi,100.0
Contra,KOTAK,sharpe,100.0
Contra,KOTAK,sortino,100.0
Contra,KOTAK,stock_count,100.0
Contra,KOTAK,ter,100.0
Contra,KOTAK,top10,0.0
Contra,KOTAK,top3_sector,100.0
Contra,KOTAK,turnover,100.0
Contra,KOTAK,up_beta,100.0
Contra,KOTAK,volatility,100.0
Contra,SBI,aum,100.0
Contra,SBI,cagr_1y,100.0
Contra,SBI,cagr_3y,100.0
Contra,SBI,cagr_5y,100.0
Contra,SBI,down_beta,100.0
Contra,SBI,iqr_3y,100.0
Contra,SBI,iqr_5y,100.0
Contra,SBI,ir,100.0
Contra,SBI,manager_experience,100.0
Contra,SBI,max_dd,100.0
Contra,SBI,pb,100.0
Contra,SBI,pe,100.0
Contra,SBI,return_3m,100.0
Contra,SBI,return_6m,100.0
Contra,SBI,roe,100.0
Contra,SBI,rolling_3y,100.0
Contra,SBI,rolling_5y,100.0
Contra,SBI,sector_hhi,100.0
Contra,SBI,sharpe,100.0
Contra,SBI,sortino,100.0
Contra,SBI,stock_count,100.0
Contra,SBI,ter,100.0
Contra,SBI,top10,100.0
Contra,SBI,top3_sector,100.0
Contra,SBI,turnover,100.0
Contra,SBI,up_beta,100.0
Contra,SBI,volatility,100.0
ELSS,ABSL,aum,100.0
ELSS,ABSL,cagr_1y,100.0
ELSS,ABSL,cagr_3y,100.0
ELSS,ABSL,cagr_5y,100.0
ELSS,ABSL,down_beta,100.0
ELSS,ABSL,iqr_3y,100.0
ELSS,ABSL,iqr_5y,100.0
ELSS,ABSL,ir,100.0
ELSS,ABSL,manager_experience,100.0
ELSS,ABSL,max_dd,100.0
ELSS,ABSL,pb,100.0
ELSS,ABSL,pe,100.0
ELSS,ABSL,return_3m,100.0
ELSS,ABSL,return_6m,100.0
ELSS,ABSL,roe,100.0
ELSS,ABSL,rolling_3y,100.0
ELSS,ABSL,rolling_5y,100.0
ELSS,ABSL,sector_hhi,100.0
ELSS,ABSL,sharpe,100.0
ELSS,ABSL,sortino,100.0
ELSS,ABSL,stock_count,100.0
ELSS,ABSL,ter,100.0
ELSS,ABSL,top10,100.0
ELSS,ABSL,top3_sector,100.0
ELSS,ABSL,turnover,100.0
ELSS,ABSL,up_beta,100.0
ELSS,ABSL,volatility,100.0
ELSS,AXIS,aum,100.0
ELSS,AXIS,cagr_1y,100.0
ELSS,AXIS,cagr_3y,100.0
ELSS,AXIS,cagr_5y,100.0
ELSS,AXIS,down_beta,100.0
ELSS,AXIS,iqr_3y,100.0
ELSS,AXIS,iqr_5y,100.0
ELSS,AXIS,ir,100.0
ELSS,AXIS,manager_experience,100.0
ELSS,AXIS,max_dd,100.0
ELSS,AXIS,pb,100.0
ELSS,AXIS,pe,100.0
ELSS,AXIS,return_3m,100.0
ELSS,AXIS,return_6m,100.0
ELSS,AXIS,roe,100.0
ELSS,AXIS,rolling_3y,100.0
ELSS,AXIS,rolling_5y,100.0
ELSS,AXIS,sector_hhi,100.0
ELSS,AXIS,sharpe,100.0
ELSS,AXIS,sortino,100.0
ELSS,AXIS,stock_count,100.0
ELSS,AXIS,ter,100.0
ELSS,AXIS,top10,100.0
ELSS,AXIS,top3_sector,100.0
ELSS,AXIS,turnover,100.0
ELSS,AXIS,up_beta,100.0
ELSS,AXIS,volatility,100.0
ELSS,BANDHAN,aum,100.0
ELSS,BANDHAN,cagr_1y,100.0
ELSS,BANDHAN,cagr_3y,100.0
ELSS,BANDHAN,cagr_5y,100.0
ELSS,BANDHAN,down_beta,100.0
ELSS,BANDHAN,iqr_3y,100.0
ELSS,BANDHAN,iqr_5y,100.0
ELSS,BANDHAN,ir,100.0
ELSS,BANDHAN,manager_experience,100.0
ELSS,BANDHAN,max_dd,100.0
ELSS,BANDHAN,pb,0.0
ELSS,BANDHAN,pe,0.0
ELSS,BANDHAN,return_3m,100.0
ELSS,BANDHAN,return_6m,100.0
ELSS,BANDHAN,roe,0.0
ELSS,BANDHAN,rolling_3y,100.0
ELSS,BANDHAN,rolling_5y,100.0
ELSS,BANDHAN,sector_hhi,0.0
ELSS,BANDHAN,sharpe,100.0
ELSS,BANDHAN,sortino,100.0
ELSS,BANDHAN,stock_count,100.0
ELSS,BANDHAN,ter,100.0
ELSS,BANDHAN,top10,100.0
ELSS,BANDHAN,top3_sector,100.0
ELSS,BANDHAN,turnover,100.0
ELSS,BANDHAN,up_beta,100.0
ELSS,BANDHAN,volatility,100.0
ELSS,BARODA,aum,100.0
ELSS,BARODA,cagr_1y,100.0
ELSS,BARODA,cagr_3y,100.0
ELSS,BARODA,cagr_5y,0.0
ELSS,BARODA,down_beta,100.0
ELSS,BARODA,iqr_3y,0.0
ELSS,BARODA,iqr_5y,0.0
ELSS,BARODA,ir,100.0
ELSS,BARODA,manager_experience,100.0
ELSS,BARODA,max_dd,100.0
ELSS,BARODA,pb,100.0
ELSS,BARODA,pe,100.0
ELSS,BARODA,return_3m,100.0
ELSS,BARODA,return_6m,100.0
ELSS,BARODA,roe,100.0
ELSS,BARODA,rolling_3y,0.0
ELSS,BARODA,rolling_5y,0.0
ELSS,BARODA,sector_hhi,100.0
ELSS,BARODA,sharpe,100.0
ELSS,BARODA,sortino,100.0
ELSS,BARODA,stock_count,100.0
ELSS,BARODA,ter,100.0
ELSS,BARODA,top10,100.0
ELSS,BARODA,top3_sector,100.0
ELSS,BARODA,turnover,100.0
ELSS,BARODA,up_beta,100.0
ELSS,BARODA,volatility,100.0
ELSS,BOI,aum,100.0
ELSS,BOI,cagr_1y,100.0
ELSS,BOI,cagr_3y,100.0
ELSS,BOI,cagr_5y,100.0
ELSS,BOI,down_beta,100.0
ELSS,BOI,iqr_3y,100.0
ELSS,BOI,iqr_5y,100.0
ELSS,BOI,ir,100.0
ELSS,BOI,manager_experience,100.0
ELSS,BOI,max_dd,100.0
ELSS,BOI,pb,100.0
ELSS,BOI,pe,100.0
ELSS,BOI,return_3m,100.0
