category,metric,coverage_pct
Contra,aum,100.0
Contra,cagr_1y,100.0
Contra,cagr_3y,100.0
Contra,cagr_5y,100.0
Contra,down_beta,100.0
Contra,iqr_3y,100.0
Contra,iqr_5y,100.0
Contra,ir,100.0
Contra,manager_experience,100.0
Contra,max_dd,100.0
Contra,pb,100.0
Contra,pe,100.0
Contra,return_3m,100.0
Contra,return_6m,100.0
Contra,roe,100.0
Contra,rolling_3y,100.0
Contra,rolling_5y,100.0
Contra,sector_hhi,100.0
Contra,sharpe,100.0
Contra,sortino,100.0
Contra,stock_count,100.0
Contra,ter,100.0
Contra,top10,66.66666666666666
Contra,top3_sector,100.0
Contra,turnover,100.0
Contra,up_beta,100.0
Contra,volatility,100.0
ELSS,aum,100.0
ELSS,cagr_1y,100.0
ELSS,cagr_3y,100.0
ELSS,cagr_5y,87.5
ELSS,down_beta,100.0
ELSS,iqr_3y,87.5
ELSS,iqr_5y,87.5
ELSS,ir,100.0
ELSS,manager_experience,100.0
ELSS,max_dd,100.0
ELSS,pb,93.75
ELSS,pe,93.75
ELSS,return_3m,100.0
ELSS,return_6m,100.0
ELSS,roe,93.75
ELSS,rolling_3y,87.5
ELSS,rolling_5y,87.5
ELSS,sector_hhi,96.875
ELSS,sharpe,100.0
ELSS,sortino,100.0
ELSS,stock_count,100.0
ELSS,ter,100.0
ELSS,top10,96.875
ELSS,top3_sector,100.0
ELSS,turnover,100.0
ELSS,up_beta,100.0
ELSS,volatility,100.0
Flexi Cap,aum,100.0
Flexi Cap,cagr_1y,97.22222222222221
Flexi Cap,cagr_3y,83.33333333333334
Flexi Cap,cagr_5y,61.111111111111114
Flexi Cap,down_beta,86.11111111111111
Flexi Cap,iqr_3y,61.111111111111114
Flexi Cap,iqr_5y,61.111111111111114
Flexi Cap,ir,86.11111111111111
Flexi Cap,manager_experience,94.44444444444444
Flexi Cap,max_dd,97.22222222222221
Flexi Cap,pb,94.44444444444444
Flexi Cap,pe,94.44444444444444
Flexi Cap,return_3m,97.22222222222221
Flexi Cap,return_6m,97.22222222222221
Flexi Cap,roe,94.44444444444444
Flexi Cap,rolling_3y,61.111111111111114
Flexi Cap,rolling_5y,61.111111111111114
Flexi Cap,sector_hhi,97.22222222222221
Flexi Cap,sharpe,86.11111111111111
Flexi Cap,sortino,86.11111111111111
Flexi Cap,stock_count,100.0
Flexi Cap,ter,100.0
Flexi Cap,top10,97.22222222222221
Flexi Cap,top3_sector,100.0
Flexi Cap,turnover,100.0
Flexi Cap,up_beta,86.11111111111111
Flexi Cap,volatility,97.22222222222221
Focused,aum,100.0
Focused,cagr_1y,100.0
Focused,cagr_3y,92.85714285714286
Focused,cagr_5y,75.0
Focused,down_beta,89.28571428571429
Focused,iqr_3y,78.57142857142857
Focused,iqr_5y,75.0
Focused,ir,89.28571428571429
Focused,manager_experience,96.42857142857143
Focused,max_dd,100.0
Focused,pb,92.85714285714286
Focused,pe,92.85714285714286
Focused,return_3m,100.0
Focused,return_6m,100.0
Focused,roe,92.85714285714286
Focused,rolling_3y,78.57142857142857
Focused,rolling_5y,75.0
Focused,sector_hhi,96.42857142857143
Focused,sharpe,89.28571428571429
Focused,sortino,89.28571428571429
Focused,stock_count,100.0
Focused,ter,100.0
Focused,top10,92.85714285714286
Focused,top3_sector,100.0
Focused,turnover,100.0
Focused,up_beta,89.28571428571429
Focused,volatility,100.0
Large & Mid Cap,aum,100.0
Large & Mid Cap,cagr_1y,93.33333333333333
Large & Mid Cap,cagr_3y,80.0
Large & Mid Cap,cagr_5y,80.0
Large & Mid Cap,down_beta,80.0
Large & Mid Cap,iqr_3y,80.0
Large & Mid Cap,iqr_5y,80.0
Large & Mid Cap,ir,80.0
Large & Mid Cap,manager_experience,100.0
Large & Mid Cap,max_dd,93.33333333333333
Large & Mid Cap,pb,93.33333333333333
Large & Mid Cap,pe,93.33333333333333
Large & Mid Cap,return_3m,93.33333333333333
Large & Mid Cap,return_6m,93.33333333333333
Large & Mid Cap,roe,93.33333333333333
Large & Mid Cap,rolling_3y,80.0
Large & Mid Cap,rolling_5y,80.0
Large & Mid Cap,sector_hhi,96.66666666666667
Large & Mid Cap,sharpe,80.0
Large & Mid Cap,sortino,80.0
Large & Mid Cap,stock_count,100.0
Large & Mid Cap,ter,100.0
Large & Mid Cap,top10,96.66666666666667
Large & Mid Cap,top3_sector,100.0
Large & Mid Cap,turnover,100.0
Large & Mid Cap,up_beta,80.0
Large & Mid Cap,volatility,93.33333333333333
Large Cap,aum,100.0
Large Cap,cagr_1y,96.7741935483871
Large Cap,cagr_3y,90.32258064516128
Large Cap,cagr_5y,77.41935483870968
Large Cap,down_beta,90.32258064516128
Large Cap,iqr_3y,77.41935483870968
Large Cap,iqr_5y,77.41935483870968
Large Cap,ir,90.32258064516128
Large Cap,manager_experience,100.0
Large Cap,max_dd,96.7741935483871
Large Cap,pb,93.54838709677419
Large Cap,pe,93.54838709677419
Large Cap,return_3m,96.7741935483871
Large Cap,return_6m,96.7741935483871
Large Cap,roe,93.54838709677419
Large Cap,rolling_3y,77.41935483870968
Large Cap,rolling_5y,77.41935483870968
Large Cap,sector_hhi,96.7741935483871
Large Cap,sharpe,90.32258064516128
Large Cap,sortino,90.32258064516128
Large Cap,stock_count,100.0
Large Cap,ter,100.0
Large Cap,top10,96.7741935483871
Large Cap,top3_sector,100.0
Large Cap,turnover,100.0
Large Cap,up_beta,90.32258064516128
Large Cap,volatility,96.7741935483871
Mid Cap,aum,100.0
Mid Cap,cagr_1y,96.55172413793103
Mid Cap,cagr_3y,93.10344827586206
Mid Cap,cagr_5y,72.41379310344827
Mid Cap,down_beta,96.55172413793103
Mid Cap,iqr_3y,75.86206896551724
Mid Cap,iqr_5y,72.41379310344827
Mid Cap,ir,96.55172413793103
Mid Cap,manager_experience,100.0
Mid Cap,max_dd,96.55172413793103
