slug,pe,pb,roe,peg,market_cap
20MICRONS,10.6,1.47,16.3,0.46,671.0
21STCENMGM,,1.01,23.7,,48.0
360ONE,41.6,5.0,20.6,1.79,46780.0
3IINFOLTD,4.51,0.97,8.28,0.12,317.0
3MINDIA,65.0,18.49,30.5,1.21,39727.0
3PLAND,31.4,0.4,1.74,1.44,66.3
500009,13.2,1.4,6.25,-0.35,206.0
500012,,0.79,-2.75,,405.0
500014,8.2,1.15,11.4,0.07,26.7
500016,6.45,0.96,3.81,0.19,28.9
500028,27.8,1.03,3.66,0.9,215.0
500058,11.2,-2.46,,1.2,102.0
500068,34.2,6.4,21.2,2.81,1774.0
500069,17.6,0.58,4.5,0.26,282.0
500123,51.1,7.57,17.4,1.57,7060.0
500142,5.84,1.06,19.9,0.04,10.8
500143,113.0,2.74,15.6,-9.58,165.0
500147,308.0,12.83,-2.52,14.0,2597.0
500159,5.98,0.36,3.05,0.54,146.0
500166,,1.09,2.86,,352.0
500170,,,,,34.2
500178,,-0.1,,,6.81
500192,,-1.56,,,14.5
500202,,1.42,-1.12,,14.3
500206,800.0,0.24,0.24,20.5,32.0
500213,11.5,1.74,17.6,0.18,303.0
500220,11.8,1.5,12.6,-0.42,102.0
500239,,-4.97,-780.0,,41.7
500240,166.0,6.59,-5.76,,716.0
500246,,4.02,-5.88,,34.1
500264,8.68,1.24,12.9,0.05,997.0
500267,34.5,0.51,1.11,-3.74,363.0
500270,8.44,0.7,7.46,-0.15,267.0
500277,1188.0,-2.65,,,11.9
500298,11.3,0.44,3.36,0.58,399.0
500306,76.6,4.84,-0.02,,2302.0
500307,14.1,9.65,59.9,0.56,4479.0
500319,3.24,0.47,16.3,2.92,120.0
500322,,-0.46,,,105.0
500346,,0.69,-2.87,,71.9
500357,,-0.23,,,11.1
500358,,-0.23,,,14.6
500360,,3.41,-11.8,,66.0
500365,269.0,5.36,-1.68,11.7,2380.0
500370,,0.48,-7.45,,31.7
500388,56.7,4.31,3.37,1.35,156.0
500389,,0.33,-0.87,,128.0
500399,,-41.48,-431.0,,25.1
500414,56.8,26.78,197.0,0.5,3185.0
500421,131.0,-4.94,,3.93,69.4
500422,54.5,2.55,6.75,1.44,207.0
500426,,,,,6.8
500449,,0.21,-21.6,,214.0
500450,,,-123.0,,22.2
500458,,53.33,,,73.9
501144,,128.0,-66.7,,3.84
501148,,,,,12.8
501261,,0.1,-106.0,,67.0
501298,14.5,1.06,7.59,0.83,888.0
501311,,-0.16,,,9.98
501314,18.1,0.32,1.62,0.3,27.7
501351,31.7,1.61,5.33,,18.4
501370,,,-41.4,,35.9
501391,28.7,1.84,12.2,1.03,158.0
501421,3105.0,352.75,1.5,-39.1,3943.0
501430,78.4,2.52,7.48,9.71,70.6
501477,178.0,-9.96,,,14.2
501622,,23.78,-1.15,,20.3
501700,,-0.72,,,29.1
501833,218.0,-1.34,,8.51,76.4
501848,,1.17,-8.58,,155.0
501945,24.1,3.76,-14.3,,11.8
502015,,0.84,-15.8,,243.0
502133,,-4.01,-281.0,,33.9
502250,,3.92,-0.2,,39.2
502271,2.35,-1.14,,-0.04,10.1
502281,,-0.77,,,11.5
502294,,-2.54,,,73.5
502445,22.6,1.88,8.22,0.57,31.3
502587,6.89,0.45,3.72,-0.39,117.0
502589,17.6,0.74,3.81,0.25,26.9
502850,,-0.04,,,2.86
502865,14.1,1.74,62.4,-0.2,398.0
502873,13.8,2.24,17.1,-0.49,40.0
502893,12.6,0.3,2.91,0.09,12.3
502901,,-11.72,,,60.5
502933,,0.24,-1.52,,27.4
502958,,0.62,-0.6,,549.0
503092,27.3,1.0,5.59,0.08,31.6
503127,88.1,10.09,-7.34,3.97,114.0
503229,,0.41,1.13,,46.3
503349,12.6,1.01,2.9,0.25,61.1
503624,26.6,0.19,-1.45,,11.4
503635,6.62,1.09,5.58,0.14,64.5
503639,41.4,1.41,8.13,2.23,8.7
503641,16.4,0.41,6.97,0.45,17.7
503657,19.4,0.27,2.28,-0.44,19.4
503659,59.8,1.06,1.03,-1.71,9.57
503663,23.9,1.08,5.77,0.15,148.0
503675,,0.59,0.22,,5.47
503681,32.3,0.26,1.47,2.12,2452.0
503685,4.35,0.47,15.3,,29.4
503772,,-13.03,,,5.87
503776,,0.67,,,40.5
503804,9.3,0.69,3.46,-0.51,137.0
503816,62.0,1.6,2.06,-1.12,181.0
503837,,-7.56,-120.0,,53.0
503863,,-6.23,,,16.2
504000,18.3,0.65,3.14,-1.8,1315.0
504028,,1.99,-4.65,,394.0
504076,7.61,-6.92,,0.06,187.0
504080,57.3,2.57,15.1,1.75,124.0
