slug,price,book_value,pe,pb,market_cap
20MICRONS,208.0,129.0,11.6,1.61,732.0
21STCENMGM,47.5,45.2,,1.05,48.8
360ONE,1192.0,231.0,42.9,5.16,48300.0
3IINFOLTD,16.7,15.8,4.93,1.06,346.0
3MINDIA,34875.0,1906.0,64.3,18.3,39286.0
3PLAND,37.4,93.0,31.4,0.4,66.4
500009,28.4,19.2,13.9,1.48,218.0
500012,50.3,60.6,,0.83,427.0
500014,4.8,4.19,8.22,1.15,26.7
500016,8.68,8.84,6.57,0.98,29.4
500028,42.9,39.4,29.5,1.09,228.0
500058,11.4,-4.6,11.3,-2.48,103.0
500068,12050.0,1905.0,33.8,6.33,1752.0
500069,291.0,483.0,18.2,0.6,291.0
500123,9427.0,1177.0,54.1,8.01,7473.0
500142,9.77,8.58,6.28,1.14,11.6
500143,475.0,201.0,97.6,2.36,142.0
500147,5292.0,410.0,310.0,12.91,2613.0
500159,127.0,331.0,6.4,0.38,156.0
500166,168.0,149.0,,1.13,362.0
500170,20.5,,,,36.0
500178,6.19,-62.4,,-0.1,6.5
500192,1.98,-1.25,,-1.58,14.7
500202,9.72,6.86,,1.42,14.3
500206,70.6,289.0,806.0,0.24,32.2
500213,378.0,218.0,11.5,1.73,303.0
500220,161.0,108.0,4.86,1.49,109.0
500239,16.5,-3.28,,-5.03,42.4
500240,335.0,45.7,185.0,7.33,797.0
500246,70.6,18.3,,3.86,32.8
500264,150.0,111.0,9.39,1.35,1083.0
500267,339.0,678.0,33.5,0.5,353.0
500270,115.0,168.0,8.3,0.68,263.0
500277,7.26,-2.75,1184.0,-2.64,11.8
500298,715.0,1597.0,11.6,0.45,411.0
500306,192.0,36.6,83.2,5.25,2502.0
500307,499.0,51.5,14.2,9.69,4501.0
500319,73.4,147.0,3.43,0.5,128.0
500322,137.0,-283.0,,-0.48,110.0
500346,61.9,86.2,,0.72,74.4
500357,10.6,-49.8,,-0.21,10.2
500358,13.9,-60.0,,-0.23,14.6
500360,135.0,36.1,,3.74,72.5
500365,38.5,6.7,288.0,5.75,2551.0
500370,37.4,74.7,,0.5,32.9
500388,125.0,26.7,61.5,4.68,169.0
500389,8.65,24.6,,0.35,135.0
500399,48.2,-1.22,,-39.51,23.9
500414,341.0,11.8,61.5,28.9,3447.0
500421,15.5,-3.28,125.0,-4.73,66.5
500422,187.0,66.2,60.3,2.82,228.0
500426,1.9,,,,6.26
500449,32.2,152.0,,0.21,216.0
500450,347.0,,,,19.8
500458,29.9,0.54,,55.37,76.8
501144,181.0,1.5,,120.67,3.62
501148,402.0,,,,12.9
501261,670.0,6528.0,,0.1,67.0
501298,5579.0,5002.0,15.2,1.12,935.0
501311,22.4,-123.0,,-0.18,11.2
501314,0.67,1.97,19.2,0.34,29.4
501351,90.2,53.1,33.4,1.7,19.4
501370,127.0,,,,36.8
501391,612.0,335.0,28.5,1.83,156.0
501421,7350.0,17.8,3634.0,412.92,4616.0
501430,1800.0,700.0,80.0,2.57,72.0
501477,240.0,-22.9,187.0,-10.48,15.0
501622,73.0,3.07,,23.78,20.3
501700,8.34,-10.7,,-0.78,31.5
501833,21.8,-15.7,226.0,-1.39,79.0
501848,54.9,43.2,,1.27,169.0
501945,6.27,1.72,23.4,3.65,11.5
502015,29.4,32.3,,0.91,265.0
502133,50.9,-12.7,,-4.01,33.9
502250,540.0,143.0,,3.78,37.8
502271,20.5,-18.9,2.24,-1.08,9.66
502281,9.06,-11.9,,-0.76,11.4
502294,34.6,-14.2,,-2.44,70.5
502445,38.0,20.0,22.9,1.9,31.6
502587,62.5,138.0,7.0,0.45,119.0
502589,121.0,159.0,18.0,0.76,27.6
502850,14.3,-372.0,,-0.04,2.86
502865,329.0,178.0,15.0,1.85,425.0
502873,108.0,45.6,14.6,2.37,42.4
502893,73.8,225.0,13.9,0.33,13.5
502901,93.9,-7.39,,-12.71,65.6
502933,99.5,404.0,,0.25,28.4
502958,7933.0,12766.0,,0.62,552.0
503092,34.7,34.0,27.9,1.02,32.4
503127,4512.0,454.0,86.8,9.94,113.0
503229,164.0,382.0,,0.43,48.9
503349,6149.0,6093.0,12.5,1.01,60.9
503624,7.84,39.8,26.9,0.2,11.6
503635,80.0,85.0,5.72,0.94,55.8
503639,8.37,5.95,41.5,1.41,8.71
503641,2.29,5.16,17.5,0.44,18.9
503657,13.3,48.0,19.9,0.28,19.9
503659,101.0,100.0,57.0,1.01,9.12
503663,2.01,1.03,43.2,1.95,269.0
503675,1.12,1.96,,0.57,5.28
503681,125252.0,465496.0,33.0,0.27,2505.0
503685,19.6,42.2,4.26,0.46,28.8
503772,68.0,-4.95,,-13.74,6.19
503776,35.8,52.4,,0.68,41.5
503804,241.0,352.0,9.18,0.68,135.0
503816,47.9,29.0,64.0,1.65,187.0
503837,13.0,-1.72,,-7.56,53.0
503863,19.5,-3.13,,-6.23,16.2
504000,83.7,119.0,19.7,0.7,1419.0
504028,74.8,38.1,,1.96,389.0
504076,82.9,-11.7,7.79,-7.09,191.0
504080,1114.0,411.0,60.5,2.71,131.0
504084,887.0,99.3,52.7,8.93,281.0
504092,764.0,22.7,376.0,33.66,2129.0
504093,314.0,138.0,37.1,2.28,236.0
504132,868.0,175.0,61.4,4.96,746.0
504176,576.0,111.0,38.4,5.19,516.0
504180,44.4,4.54,,9.78,22.9
504240,623.0,114.0,29.2,5.46,538.0
504258,751.0,189.0,18.8,3.97,185.0
504273,23.7,44.7,,0.53,164.0
504340,7.05,16.1,18.9,0.44,9.62
504346,10766.0,6.86,,1569.39,14667.0
504351,1.62,2.64,47.6,0.61,189.0
504356,10.2,9.25,,1.1,5.04
504369,0.49,0.0,,,6.4
504375,236.0,-302.0,,-0.78,3.55
504378,2.83,10.4,,0.27,8.49
504380,54.2,10.2,186.0,5.31,98.4
504392,21.2,9.8,,2.16,22.8
504397,103.0,75.4,,1.37,9.16
504398,65.0,10.4,388.0,6.25,54.3
504605,3226.0,767.0,18.4,4.21,637.0
504646,549.0,181.0,15.1,3.03,158.0
504648,50.0,14.5,,3.45,26.7
504731,132.0,23.6,4223.0,5.59,718.0
504746,1531.0,90.4,5851.0,16.94,410.0
504786,509.0,96.0,68.1,5.3,509.0
504810,81.6,52.7,162.0,1.55,34.0
504840,1558.0,187.0,67.8,8.33,144.0
504882,1504.0,139.0,273.0,10.82,3007.0
504903,27.8,,,,240.0
504908,498.0,93.6,,5.32,184.0
504959,2015.0,676.0,15.0,2.98,421.0
504988,874.0,566.0,,1.54,55.9
505036,1846.0,458.0,19.0,4.03,1124.0
505163,773.0,522.0,66.2,1.48,702.0
505212,127.0,36.6,38.6,3.47,28.6
505216,2768.0,7340.0,8.85,0.38,213.0
505232,1188.0,529.0,20.1,2.25,535.0
505250,75.8,112.0,45.7,0.68,36.1
505285,722.0,215.0,,3.36,156.0
505299,659.0,85.2,48.6,7.73,224.0
505302,2139.0,328.0,168.0,6.52,143.0
505320,170.0,-9.26,,-18.36,17.5
505336,0.51,1.27,5.72,0.4,47.6
505343,0.43,-0.03,4.19,-14.33,30.2
505358,186.0,30.2,34.0,6.16,639.0
505502,1.47,,,,7.91
505504,281.0,0.14,,2007.14,2023.0
505515,11.2,5.51,16.8,2.03,15.1
505523,0.42,0.99,,0.42,26.1
505650,23.1,5.95,,3.88,92.9
505681,606.0,600.0,20.2,1.01,232.0
505690,860.0,219.0,40.3,3.93,194.0
505693,9.11,5.66,,1.61,119.0
505703,298.0,8.79,,33.9,596.0
505712,215.0,,25.4,,204.0
505725,69.2,3.97,118.0,17.43,1946.0
505729,66.8,12.0,51.9,5.57,416.0
505737,600.0,364.0,,1.65,143.0
505750,300.0,109.0,34.3,2.75,355.0
505797,27.0,-3.71,,-7.28,9.68
505807,638.0,369.0,13.7,1.73,48.5
505827,371.0,196.0,11.8,1.89,134.0
505840,28.5,12.4,5.3,2.3,17.4
505872,396.0,151.0,40.2,2.62,3866.0
505893,900.0,227.0,15.4,3.96,135.0
505978,2950.0,1018.0,74.9,2.9,378.0
506003,67.0,31.0,12.9,2.16,56.1
506105,71.3,101.0,,0.71,28.3
506122,46.5,329.0,,0.14,5.5
506128,123.0,78.4,12.8,1.57,141.0
506134,15.1,4.62,,3.27,205.0
506166,95.4,13.3,57.2,7.17,1314.0
506180,463.0,61.3,,7.55,212.0
506186,18.0,0.51,1797.0,35.29,89.8
506313,279.0,30.0,,9.3,8.64
506365,142.0,24.5,193.0,5.8,21.2
506414,343.0,133.0,9.02,2.58,1010.0
506520,6.87,4.79,80.6,1.43,20.2
506528,3756.0,1386.0,13.9,2.71,376.0
506530,1062.0,1557.0,,0.68,115.0
506532,807.0,498.0,9.81,1.62,733.0
506543,9.4,10.3,109.0,0.91,5.46
506579,140.0,269.0,23.0,0.52,140.0
506597,653.0,91.7,20.8,7.12,807.0
506605,2062.0,1178.0,14.0,1.75,82.5
506640,227.0,392.0,188.0,0.58,81.0
506685,430.0,364.0,15.8,1.18,1256.0
506687,1264.0,1375.0,12.2,0.92,706.0
506734,109.0,333.0,8.66,0.33,71.5
506808,48.2,13.2,18.6,3.65,587.0
506854,4506.0,340.0,47.8,13.25,4495.0
506858,60.2,76.7,46.1,0.78,36.0
506863,154.0,8.67,106.0,17.76,166.0
506906,34.3,-21.8,,-1.57,3.67
506919,118.0,120.0,,0.98,69.6
506935,67.0,23.5,26.9,2.85,15.1
506947,195.0,42.3,440.0,4.61,17.6
506979,97.6,9.42,,10.36,115.0
506981,130.0,130.0,,1.0,25.6
507155,144.0,3.43,,41.98,671.0
507180,6.22,6.85,6.37,0.91,62.7
507265,204.0,-54.1,,-3.77,367.0
507300,934.0,410.0,,2.28,31.7
507474,44.5,34.9,,1.28,66.8
507486,55.9,11.6,2572.0,4.82,25.7
507498,40.7,6.98,29.6,5.83,94.6
507515,17.9,7.89,71.7,2.27,8.6
507598,97.6,78.4,14.4,1.24,88.2
507609,30.9,-80.3,,-0.38,8.81
507621,62.9,69.3,,0.91,153.0
507645,11102.0,2272.0,21.6,4.89,133.0
507663,3.42,37.7,3.84,0.09,1.23
507690,189.0,109.0,14.3,1.73,40.9
507753,106.0,117.0,9.32,0.91,1132.0
507759,13.7,2.77,,4.95,8.9
507808,40.2,22.6,,1.78,12.0
507813,93.5,-5.63,,-16.61,47.1
507817,179.0,165.0,53.2,1.08,54.8
507828,10.0,19.0,28.5,0.53,69.6
507833,4.63,11.0,,0.42,13.9
507836,652.0,49.6,,13.15,854.0
507852,103.0,74.9,27.5,1.38,111.0
507864,122.0,134.0,11.8,0.91,151.0
507872,45.6,58.3,6.63,0.78,72.6
507912,1024.0,225.0,419.0,4.55,1573.0
507917,66.5,32.9,,2.02,12.5
507938,10.5,-9.27,,-1.13,8.78
507944,483.0,199.0,16.6,2.43,1004.0
507946,22.3,-9.48,,-2.35,53.4
507948,99.0,122.0,,0.81,59.4
507960,215.0,132.0,13.8,1.63,81.4
507962,69.6,3.36,,20.71,139.0
507966,37.3,48.7,47.8,0.77,14.8
507970,37.2,42.1,301.0,0.88,18.1
507981,73.9,31.6,21.0,2.34,51.8
507984,777.0,2.22,770.0,350.0,77.0
507998,125.0,44.2,13.6,2.83,140.0
508136,378.0,528.0,12.5,0.72,117.0
508486,7944.0,704.0,37.0,11.28,4202.0
508494,45.9,80.2,60.3,0.57,54.9
508571,146.0,163.0,4.81,0.9,25.8
508664,11.5,1.37,,8.39,19.4
508670,3500.0,4996.0,8.35,0.7,218.0
508807,768.0,1379.0,6.35,0.56,896.0
508860,0.91,5.7,,0.16,3.2
508875,475.0,172.0,21.4,2.76,244.0
508905,105.0,265.0,21.8,0.4,61.7
508918,54.9,12.0,,4.58,82.8
508922,3.89,-1.69,,-2.3,24.5
508929,666.0,5.99,463.0,111.19,1491.0
508941,491.0,372.0,10.7,1.32,236.0
508956,13.1,4.29,,3.05,16.8
508961,202.0,37.2,41.8,5.43,25.1
508963,16.2,-1.54,,-10.52,10.6
508969,2.43,3.65,10.0,0.67,24.4
508980,6.88,618.0,,0.01,11.5
509015,13.4,-7.97,,-1.68,15.7
509024,11.3,16.7,1.67,0.68,16.8
509026,91.3,62.7,,1.46,161.0
509038,10.7,46.3,,0.23,4.4
509040,146.0,126.0,,1.16,36.9
509046,66.0,9.8,88.8,6.73,33.7
509051,0.73,1.48,536.0,0.49,123.0
509053,8.32,21.4,4.71,0.39,74.5
509073,13.6,2.19,69.1,6.21,11.0
509084,96.3,51.0,,1.89,14.5
509162,125.0,87.8,53.9,1.42,329.0
509196,76.0,22.8,,3.33,47.4
509423,33.7,,,,10.6
509438,9633.0,1408.0,28.9,6.84,1252.0
509449,42.8,17.5,988.0,2.45,9.88
509470,21670.0,13377.0,195.0,1.62,325.0
509472,371.0,436.0,17.3,0.85,95.6
509486,89.8,269.0,,0.33,131.0
509525,945.0,542.0,15.3,1.74,567.0
509546,32.9,26.8,,1.23,232.0
509563,27.4,28.6,49.4,0.96,15.8
509597,703.0,697.0,22.0,1.01,47.8
509732,211.0,25.4,,8.31,2282.0
509760,40.0,44.4,46.9,0.9,11.7
509762,78.9,31.3,828.0,2.52,66.2
509835,18.3,33.1,2.87,0.55,8.41
509845,528.0,1463.0,2.61,0.36,14.8
509887,694.0,118.0,84.1,5.88,27.8
509895,175.0,572.0,33.4,0.31,29.0
509945,1401.0,1657.0,7.41,0.85,152.0
509953,539.0,-42.1,36.6,-12.8,162.0
509960,1600.0,338.0,28.3,4.73,864.0
510245,4.28,2.62,20.9,1.63,38.5
511000,24.5,63.5,,0.39,52.5
511012,0.68,1.32,,0.52,35.8
511016,8.74,1.79,,4.88,32.4
511018,60.3,16.3,105.0,3.7,130.0
511066,39.2,24.6,43.3,1.59,254.0
511092,6.1,11.5,,0.53,17.6
511110,23.6,27.6,13.7,0.86,10.7
511116,0.45,-27.7,,-0.02,27.6
511122,83.0,102.0,29.6,0.81,12.4
511131,17.0,81.9,0.52,0.21,24.0
511144,95.3,25.2,21.4,3.78,450.0
511147,59.9,24.6,,2.43,75.3
511153,22.2,5.68,60.8,3.91,62.0
511169,4.35,0.74,,5.88,25.4
511176,105.0,,,,32.9
511187,2.1,0.81,,2.59,10.5
511200,146.0,5.41,,26.99,134.0
511246,4.66,0.85,,5.48,25.2
511260,55.1,20.0,36.2,2.75,186.0
511355,13.8,8.5,200.0,1.62,30.0
511359,59.0,117.0,4.38,0.5,44.3
511377,33.1,34.2,33.1,0.97,16.6
511391,77.4,138.0,52.2,0.56,105.0
511401,8.37,14.9,,0.56,8.08
511411,31.0,-64.8,,-0.48,68.8
511441,26.0,5.05,,5.15,65.0
511447,0.57,0.98,24.9,0.58,70.3
511451,10.7,19.5,7.88,0.55,5.36
511463,9.72,18.0,,0.54,9.05
511493,3.99,15.8,2.78,0.25,12.8
511501,28.7,,,,19.4
511507,47.0,69.1,,0.68,11.9
511509,32.1,43.8,17.4,0.73,71.0
511523,18.5,11.4,80.4,1.62,37.0
511525,2.12,0.6,,3.53,45.4
511533,40.8,75.1,58.2,0.54,28.5
511535,33.2,20.4,24.7,1.63,19.8
511539,15.4,10.0,,1.54,20.8
511543,36.0,23.6,,1.53,21.6
511549,74.0,238.0,17.8,0.31,33.3
511557,4.41,0.37,,11.92,261.0
511563,24.7,,,,7.78
511571,124.0,8.35,1168.0,14.85,210.0
511577,15.0,10.7,,1.4,47.8
511585,4.89,-0.06,9.59,-81.5,4.89
511593,18.3,11.4,15.1,1.61,28.7
511601,8.78,12.8,,0.69,14.9
511609,29.3,5.67,,5.17,70.2
511626,140.0,47.7,22.7,2.94,155.0
511628,54.6,32.9,39.8,1.66,1101.0
511634,368.0,14.6,,25.21,357.0
511636,2.61,0.87,35.2,3.0,19.7
511644,474.0,-8.1,3071.0,-58.52,123.0
511654,68.8,47.0,7.69,1.46,43.0
511658,17.9,24.5,8.11,0.73,43.4
511660,7.5,-0.98,,-7.65,4.92
511664,9.68,16.7,,0.58,11.0
511672,33.2,74.0,10.5,0.45,195.0
511692,6.41,4.19,,1.53,39.2
511696,261.0,581.0,11.7,0.45,78.6
511700,0.59,1.32,2.97,0.45,145.0
511702,161.0,30.9,40.2,5.21,697.0
511710,2.67,2.33,109.0,1.15,17.4
511712,79.5,29.0,,2.74,40.9
511714,270.0,149.0,,1.81,522.0
511716,6.05,-44.4,348.0,-0.14,24.4
511728,24.6,,,,7.5
511730,15.6,1.09,,14.31,23.5
511734,16.7,-1.57,,-10.64,7.84
511738,41.7,17.9,92.1,2.33,12.9
511740,141.0,12.2,,11.56,43.4
511754,102.0,52.8,17.1,1.93,316.0
511756,37.0,35.7,39.2,1.04,20.0
511758,79.0,115.0,6.21,0.69,27.9
511760,0.4,0.68,130.0,0.59,5.2
511764,42.5,51.1,8.07,0.83,66.0
512014,860.0,108.0,33.5,7.96,722.0
512018,9.48,1.43,,6.63,109.0
512020,12931.0,9785.0,65.8,1.32,1417.0
512024,90.3,12.2,,7.4,22.4
512025,51.6,1.37,240.0,37.66,619.0
512026,224.0,98.9,,2.26,216.0
512036,158.0,47.0,,3.36,30.3
512038,473.0,206.0,47.6,2.3,2250.0
512047,6.49,8.78,6.28,0.74,76.6
512048,3.31,2.88,646.0,1.15,71.0
512062,14.0,14.3,4.67,0.98,1.54
512064,61.5,25.2,,2.44,19.2
512068,110.0,10.3,,10.68,2164.0
512093,4.53,-57.5,,-0.08,68.8
512097,0.29,1.81,5.27,0.16,6.59
512099,969.0,138.0,,7.02,194.0
512103,388.0,23.0,86.5,16.87,310.0
512109,51.8,20.6,,2.51,7.77
512115,84.5,150.0,18.5,0.56,50.2
512149,1.97,1.93,317.0,1.02,390.0
512165,31.1,31.2,11.5,1.0,217.0
512169,21.7,6.68,,3.25,8.68
512175,4.58,3.11,,1.47,24.1
512197,4.95,-14.7,,-0.34,1.36
512217,19.9,21.7,,0.92,12.1
512221,14.4,888.0,0.16,0.02,2.83
512229,181.0,1027.0,9.05,0.18,485.0
512247,2.96,2.25,26.9,1.32,26.6
512257,3.56,3.19,8.78,1.12,32.0
512267,9.99,1.21,326.0,8.26,1132.0
512277,821.0,153.0,33.7,5.37,286.0
512279,38.0,18.0,,2.11,12.3
512297,21.0,10.3,62.8,2.04,15.7
512301,18.9,1.36,,13.9,14.2
512344,3.55,-0.67,,-5.3,5.38
512345,155.0,10.5,408.0,14.76,155.0
512361,43.5,,,,226.0
512379,3.06,4.06,,0.75,127.0
512393,37.1,84.1,,0.44,324.0
512399,38.7,61.7,,0.63,254.0
512405,22.3,11.0,,2.03,13.2
512415,7.21,45.4,,0.16,9.82
512425,674.0,777.0,526.0,0.87,26.3
512437,405.0,191.0,23.3,2.12,151.0
512441,0.42,1.47,3.13,0.29,24.0
512443,14.8,12.0,81.4,1.23,13.8
512453,660.0,357.0,12.0,1.85,578.0
512477,237.0,234.0,28.2,1.01,35.6
512479,630.0,35.2,,17.9,94.5
512481,5.7,1.77,,3.22,7.7
512485,142.0,163.0,85.1,0.87,69.0
512489,19.5,8.08,,2.41,36.1
512493,48.0,21.3,22.0,2.25,94.2
512499,0.49,1.02,,0.48,48.2
512527,704.0,1752.0,130.0,0.4,216.0
